Title,Company,Experience,Salary,Location,Skills,Link,Skills_List,Experience_Years
dot net backend developer with mango db,ideslabs,5-7 yrs,Not Disclosed,hyderabad,payroll backend visual basic nosql c architecture agile aspnet,https://www.naukri.com/job-listings-dot-net-backend-developer-with-mango-db-ideslabs-private-limited-hyderabad-5-to-7-years-230823502347,['payroll backend visual basic nosql c architecture agile aspnet'],5
dot net developer,client curve,1-3 yrs,Not Disclosed,hyderabad,net developer net dot development,https://www.naukri.com/job-listings-dot-net-developer-client-curve-hyderabad-1-to-3-years-220420500700,['net developer net dot development'],1
talent acquisition managerleadership,indiamart,3-6 yrs,Not Disclosed,noida,talent acquisition sourcing strategy niche talent acquisition corporate recruiting sourcing acquisition corporate recruitment,https://www.naukri.com/job-listings-talent-acquisition-manager-leadership-indiamart-intermesh-ltd-noida-3-to-6-years-220325910382,['talent acquisition sourcing strategy niche talent acquisition corporate recruiting sourcing acquisition corporate recruitment'],3
mechanical stress engineer,akkodis,5-10 yrs,Not Disclosed,bengaluru,cabin aerospace production engineering mechanical design automotive stress analysis production design,https://www.naukri.com/job-listings-mechanical-stress-engineer-akkodis-bengaluru-5-to-10-years-211223501089,['cabin aerospace production engineering mechanical design automotive stress analysis production design'],5
dot net development,yucca it solutions,2-4 yrs,Not Disclosed,bengaluru,usage networking compliance mysql transmission aspnet net management,https://www.naukri.com/job-listings-dot-net-development-yucca-it-solutions-private-limited-bengaluru-2-to-4-years-210824502426,['usage networking compliance mysql transmission aspnet net management'],2
dot net developer,srijan spectrum,3-8 yrs,10-15 lacs pa,chennai,dot net angular net core dotnet net development dot core,https://www.naukri.com/job-listings-dot-net-developer-srijan-spectrum-chennai-3-to-8-years-220325004255,['dot net angular net core dotnet net development dot core'],3
iot platform software engineer  developer,akkodis,3-5 yrs,Not Disclosed,bengaluru,qa continuous integration automation testing monitoring tools coding agile development production engineering mentor,https://www.naukri.com/job-listings-iot-platform-software-engineer-developer-akkodis-bengaluru-3-to-5-years-211223501069,['qa continuous integration automation testing monitoring tools coding agile development production engineering mentor'],3
technical lead  dot net full stack,encora,6-10 yrs,Not Disclosed,bengaluru,technical lead net full stack technical leadership technical stack aspnet net fullstack,https://www.naukri.com/job-listings-technical-lead-dot-net-full-stack-encora-bengaluru-6-to-10-years-220125502000,['technical lead net full stack technical leadership technical stack aspnet net fullstack'],6
dot net fullstack sr developer,gforce consulting solutions,5-9 yrs,Not Disclosed,hyderabad,continuous integration sql queries front end scalability tdd agile development javascript jenkins,https://www.naukri.com/job-listings-dot-net-fullstack-sr-developer-gforce-consulting-solutions-hyderabad-5-to-9-years-210922501738,['continuous integration sql queries front end scalability tdd agile development javascript jenkins'],5
cdot netmvcsql server developers,resilience infotech,3-8 yrs,Not Disclosed,bengaluru,jquery manager technology aspnet mvc sql ajax development sql server development,https://www.naukri.com/job-listings-c-dot-net-mvc-sql-server-developers-resilience-infotech-bengaluru-3-to-8-years-220421500018,['jquery manager technology aspnet mvc sql ajax development sql server development'],3
dot net full stack developer,carvewing solutions,3-8 yrs,Not Disclosed,bengaluru,jquery linq javascript entity framework html mvc visual studio microsoft,https://www.naukri.com/job-listings-dot-net-full-stack-developer-carvewing-solutions-bengaluru-3-to-8-years-220422500568,['jquery linq javascript entity framework html mvc visual studio microsoft'],3
dot net developer android,mindera,4-9 yrs,Not Disclosed,bengaluru,san xml database agile data structures wcf wpf microsoft,https://www.naukri.com/job-listings-dot-net-developer-android-mindera-bengaluru-4-to-9-years-210723503014,['san xml database agile data structures wcf wpf microsoft'],4
dot net senior,yucca it solutions,7-10 yrs,Not Disclosed,bengaluru,usage networking compliance mysql transmission aspnet net management,https://www.naukri.com/job-listings-dot-net-senior-yucca-it-solutions-private-limited-bengaluru-7-to-10-years-210824502427,['usage networking compliance mysql transmission aspnet net management'],7
dot net core backendapi developer c,vigorouspro it solutions,6-11 yrs,Not Disclosed,hyderabad,san automation database design soc sms application architecture microsoft sql,https://www.naukri.com/job-listings-dot-net-core-backend-api-developer-c-vigorouspro-it-solutions-hyderabad-6-to-11-years-211222500441,['san automation database design soc sms application architecture microsoft sql'],6
dot netcms sql,fusion plus solutions,3-5 yrs,Not Disclosed,hyderabad,c aspnet mvc css web services entity framework adonet microsoft azure vb,https://www.naukri.com/job-listings-dot-net-c-ms-sql-fusion-plus-solutions-inc-hyderabad-3-to-5-years-211124502923,['c aspnet mvc css web services entity framework adonet microsoft azure vb'],3
dot net technical lead,amicus technologies,7-9 yrs,Not Disclosed,new delhi,jquery javascript workflow html mvc microsoft sdlc sql,https://www.naukri.com/job-listings-dot-net-technical-lead-amicus-technologies-new-delhi-7-to-9-years-220125501829,['jquery javascript workflow html mvc microsoft sdlc sql'],7
flight physics engineer,akkodis,3-5 yrs,Not Disclosed,bengaluru,pilot technical author c production engineering manual management delphi python,https://www.naukri.com/job-listings-flight-physics-engineer-akkodis-bengaluru-3-to-5-years-211223501055,['pilot technical author c production engineering manual management delphi python'],3
cabin refurbishment engineer,akkodis,2-3 yrs,Not Disclosed,bengaluru,qa sap simulation cabin illustration aerospace production engineering aeronautical engineering,https://www.naukri.com/job-listings-cabin-refurbishment-engineer-akkodis-bengaluru-2-to-3-years-211223501023,['qa sap simulation cabin illustration aerospace production engineering aeronautical engineering'],2
